build,file,peak_velocity_mps,face_angle_deg,snapped,confidence,user_judgment,computed_distance_m,outcome,end_x_m,end_y_m,total_time_s
by-build,stroke-A-18-2026-05-31T08-12-43.497Z.json,0.1347,-14.67,False,1.0,just_right,2.402,stopped,2.324,0.608,2.767
by-build,stroke-A-19-2026-05-31T08-12-49.213Z.json,0.1226,-4.14,False,1.0,,1.989,stopped,1.984,0.144,2.517
by-build,stroke-A-2-2026-05-31T08-10-25.040Z.json,0.1161,-9.16,False,1.0,,1.783,stopped,1.76,0.284,2.367
by-build,stroke-A-20-2026-05-31T08-12-54.714Z.json,0.1453,-6.61,False,1.0,,2.795,stopped,2.776,0.322,2.983
by-build,stroke-A-3-2026-05-31T08-10-29.391Z.json,0.1385,-8.12,False,1.0,just_right,2.541,stopped,2.516,0.359,2.85
by-build,stroke-A-4-2026-05-31T08-10-34.607Z.json,0.1233,-9.73,False,1.0,just_right,2.013,stopped,1.984,0.34,2.533
by-build,stroke-A-5-2026-05-31T08-10-40.307Z.json,0.1168,-6.07,False,1.0,,1.802,stopped,1.792,0.191,2.383
by-build,stroke-A-6-2026-05-31T08-10-47.092Z.json,0.1248,-5.65,False,1.0,,2.06,stopped,2.05,0.203,2.55
by-build,stroke-A-7-2026-05-31T08-10-51.543Z.json,0.137,-7.53,False,1.0,just_right,2.487,stopped,2.465,0.326,2.817
by-build,stroke-A-8-2026-05-31T08-10-58.078Z.json,0.1252,-3.15,False,1.0,just_right,2.073,stopped,2.07,0.114,2.567
by-build,stroke-A-9-2026-05-31T08-11-03.326Z.json,0.1178,-8.91,False,1.0,just_right,1.836,stopped,1.814,0.284,2.417
by-build,stroke-B-1-2026-05-31T08-13-25.019Z.json,0.1337,1.97,False,1.0,,2.368,stopped,2.367,-0.082,2.75
by-build,stroke-B-10-2026-05-31T08-14-22.817Z.json,0.1966,-0.24,False,1.0,just_right,5.129,lipOut,5.129,0.021,4.067
